id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz	fx	fy	cx	cy
0	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000006.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000006.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000008.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000008.png	0.999808	0.001880	0.019385	-0.002024	0.035811	0.013948	0.244917	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000010.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000010.png	0.999697	0.001449	0.024566	-0.000679	0.048693	0.004843	0.282054	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000012.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000012.png	0.999456	0.001568	0.032911	-0.001723	0.067315	0.016963	0.350095	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000009.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000009.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000011.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000011.png	0.999568	0.001344	0.029355	-0.001050	0.059503	0.011540	0.323690	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000013.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000013.png	0.999389	0.001290	0.034830	-0.002455	0.069488	0.007855	0.360111	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000015.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000015.png	0.999110	-0.001486	0.042152	-0.000324	0.095577	0.015110	0.432591	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000014.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000014.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000016.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000016.png	0.998981	-0.001172	0.045108	0.000336	0.106520	0.023955	0.458310	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000018.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000018.png	0.998844	-0.000083	0.048049	-0.001350	0.110673	0.009771	0.487350	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000020.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000020.png	0.998522	0.001870	0.054312	-0.000115	0.135783	0.008782	0.557488	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000017.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000017.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000019.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000019.png	0.998619	0.000990	0.052522	-0.000849	0.125436	0.007518	0.535056	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000021.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000021.png	0.998527	0.001197	0.054242	-0.000548	0.133062	0.010891	0.555994	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000023.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000023.png	0.998212	-0.000029	0.059758	-0.001650	0.144505	0.008779	0.640796	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000022.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000022.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0070_sync/image_02/data/0000000024.png	train/2011_09_26_drive_0070_sync/proj_depth/groundtruth/image_02/0000000024.png	0.998147	0.000523	0.060814	-0.002010	0.147197	0.009432	0.670443	0.580948	1.924101	0.490788	0.460944
