id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz	fx	fy	cx	cy
0	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000015.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000015.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.577655	1.910944	0.493531	0.487856
1	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000017.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000017.png	0.999988	-0.000153	-0.004911	0.000560	-0.008954	-0.003347	0.353420	0.577655	1.910944	0.493531	0.487856
2	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000019.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000019.png	0.999987	-0.000293	-0.005105	-0.000574	-0.013178	-0.005249	0.390050	0.577655	1.910944	0.493531	0.487856
3	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000021.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000021.png	0.999983	-0.001078	-0.005311	-0.002205	-0.019058	-0.009728	0.428303	0.577655	1.910944	0.493531	0.487856
0	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000020.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000020.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.577655	1.910944	0.493531	0.487856
1	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000022.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000022.png	0.999982	-0.001311	-0.005544	-0.001869	-0.018759	-0.010520	0.445321	0.577655	1.910944	0.493531	0.487856
2	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000024.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000024.png	0.999982	0.000474	-0.006012	-0.000041	-0.014124	-0.014178	0.472177	0.577655	1.910944	0.493531	0.487856
3	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000026.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000026.png	0.999985	-0.000029	-0.005382	0.001071	-0.010401	-0.009372	0.480094	0.577655	1.910944	0.493531	0.487856
0	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000023.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000023.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.577655	1.910944	0.493531	0.487856
1	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000025.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000025.png	0.999980	0.000574	-0.006164	0.001192	-0.010690	-0.013752	0.486411	0.577655	1.910944	0.493531	0.487856
2	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000027.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000027.png	0.999988	-0.000719	-0.004706	-0.000528	-0.015133	-0.009616	0.521075	0.577655	1.910944	0.493531	0.487856
3	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000029.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000029.png	0.999998	0.000991	-0.001550	-0.000452	-0.008727	-0.011021	0.520902	0.577655	1.910944	0.493531	0.487856
0	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000028.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000028.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.577655	1.910944	0.493531	0.487856
1	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000030.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000030.png	0.999997	0.002195	0.000942	-0.000113	-0.003874	-0.012687	0.556286	0.577655	1.910944	0.493531	0.487856
2	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000032.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000032.png	0.999978	0.000958	0.006512	-0.001003	0.005763	-0.003102	0.583934	0.577655	1.910944	0.493531	0.487856
3	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000034.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000034.png	0.999951	-0.001334	0.009811	0.000090	0.020600	-0.001817	0.580915	0.577655	1.910944	0.493531	0.487856
0	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000031.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000031.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.577655	1.910944	0.493531	0.487856
1	2011_09_28/2011_09_28_drive_0001_sync/image_02/data/0000000033.png	train/2011_09_28_drive_0001_sync/proj_depth/groundtruth/image_02/0000000033.png	0.999963	-0.000251	0.008545	-0.000328	0.013111	0.001945	0.597581	0.577655	1.910944	0.493531	0.487856
