id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/cloudy/color_left/trajectory_3028/000004.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000004.PNG	0.999952	-0.000090	0.003065	0.009311	0.010344	0.041612	0.496381
1	Kite_training/cloudy/color_left/trajectory_3028/000008.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000008.PNG	0.999891	-0.000021	0.006864	0.013060	0.017862	-0.017923	0.494380
2	Kite_training/cloudy/color_left/trajectory_3028/000012.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000012.PNG	0.999828	0.000323	0.012036	0.014123	0.026140	-0.068690	0.492410
3	Kite_training/cloudy/color_left/trajectory_3028/000016.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000016.PNG	0.999754	0.001021	0.018192	0.012686	0.033684	-0.110056	0.490772
4	Kite_training/cloudy/color_left/trajectory_3028/000020.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000020.PNG	0.999716	0.001842	0.021191	0.010734	0.037338	-0.133703	0.489511
5	Kite_training/cloudy/color_left/trajectory_3028/000024.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000024.PNG	0.999781	0.002352	0.018485	0.009473	0.039891	-0.134405	0.488998
6	Kite_training/cloudy/color_left/trajectory_3028/000028.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000028.PNG	0.999904	0.002248	0.010632	0.008599	0.048164	-0.114475	0.489502
7	Kite_training/cloudy/color_left/trajectory_3028/000032.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000032.PNG	0.999981	0.001465	0.003227	0.005135	0.067416	-0.093999	0.490018
8	Kite_training/cloudy/color_left/trajectory_3028/000036.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000036.PNG	0.999996	0.000237	-0.000600	-0.002593	0.097040	-0.084090	0.489314
9	Kite_training/cloudy/color_left/trajectory_3028/000040.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000040.PNG	0.999894	-0.001261	-0.000908	-0.014475	0.133554	-0.083621	0.486999
10	Kite_training/cloudy/color_left/trajectory_3028/000044.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000044.PNG	0.999691	-0.002725	0.000386	-0.024691	0.167727	-0.088117	0.484503
11	Kite_training/cloudy/color_left/trajectory_3028/000048.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000048.PNG	0.999663	-0.003669	0.000921	-0.025686	0.189888	-0.094553	0.483736
12	Kite_training/cloudy/color_left/trajectory_3028/000052.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000052.PNG	0.999846	-0.003956	0.000687	-0.017068	0.199574	-0.106525	0.484600
13	Kite_training/cloudy/color_left/trajectory_3028/000056.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000056.PNG	0.999980	-0.004169	0.000163	-0.004681	0.201329	-0.125103	0.487464
14	Kite_training/cloudy/color_left/trajectory_3028/000060.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000060.PNG	0.999982	-0.005333	-0.000128	0.002680	0.201440	-0.146484	0.493247
15	Kite_training/cloudy/color_left/trajectory_3028/000064.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000064.PNG	0.999962	-0.007543	-0.000161	0.004294	0.200454	-0.169174	0.501773
16	Kite_training/cloudy/color_left/trajectory_3028/000068.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000068.PNG	0.999948	-0.010048	-0.000023	0.001839	0.199218	-0.184841	0.512546
17	Kite_training/cloudy/color_left/trajectory_3028/000072.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000072.PNG	0.999940	-0.010956	0.000071	-0.000465	0.198795	-0.174152	0.526034
18	Kite_training/cloudy/color_left/trajectory_3028/000076.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3028/000076.PNG	0.999948	-0.009973	0.000087	-0.001965	0.199209	-0.133051	0.544774
