id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/foggy/color_left/trajectory_2022/000004.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000004.PNG	0.999686	0.000865	-0.024002	-0.007199	2.389487	0.238929	1.141183
1	Kite_training/foggy/color_left/trajectory_2022/000008.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000008.PNG	0.999669	0.002655	-0.024583	-0.007076	2.360491	0.260954	1.077215
2	Kite_training/foggy/color_left/trajectory_2022/000012.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000012.PNG	0.999631	0.003458	-0.025888	-0.007435	2.329344	0.285429	1.013186
3	Kite_training/foggy/color_left/trajectory_2022/000016.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000016.PNG	0.999578	0.003471	-0.027661	-0.008117	2.297283	0.311523	0.945748
4	Kite_training/foggy/color_left/trajectory_2022/000020.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000020.PNG	0.999530	0.003161	-0.029251	-0.008628	2.264856	0.336926	0.871850
5	Kite_training/foggy/color_left/trajectory_2022/000024.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000024.PNG	0.999490	0.002591	-0.030555	-0.008907	2.231168	0.359709	0.792948
6	Kite_training/foggy/color_left/trajectory_2022/000028.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000028.PNG	0.999454	0.001834	-0.031737	-0.009005	2.195246	0.379760	0.711495
7	Kite_training/foggy/color_left/trajectory_2022/000032.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000032.PNG	0.999399	0.001201	-0.033425	-0.009079	2.156181	0.401692	0.629737
8	Kite_training/foggy/color_left/trajectory_2022/000036.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000036.PNG	0.999318	0.000749	-0.035761	-0.009175	2.114000	0.426975	0.546231
9	Kite_training/foggy/color_left/trajectory_2022/000040.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000040.PNG	0.999217	0.000458	-0.038442	-0.009346	2.068980	0.454754	0.458807
10	Kite_training/foggy/color_left/trajectory_2022/000044.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000044.PNG	0.999163	0.000377	-0.039717	-0.009796	2.022513	0.478330	0.366365
11	Kite_training/foggy/color_left/trajectory_2022/000048.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000048.PNG	0.999185	0.000598	-0.038963	-0.010524	1.973559	0.496192	0.275386
12	Kite_training/foggy/color_left/trajectory_2022/000052.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000052.PNG	0.999274	0.001074	-0.036374	-0.011262	1.920969	0.509569	0.194195
13	Kite_training/foggy/color_left/trajectory_2022/000056.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000056.PNG	0.999400	0.001121	-0.032832	-0.011020	1.864025	0.519826	0.128804
14	Kite_training/foggy/color_left/trajectory_2022/000060.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000060.PNG	0.999545	0.000450	-0.028619	-0.009505	1.804759	0.523430	0.082394
15	Kite_training/foggy/color_left/trajectory_2022/000064.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000064.PNG	0.999694	-0.000923	-0.023764	-0.006838	1.746219	0.516922	0.057224
16	Kite_training/foggy/color_left/trajectory_2022/000068.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000068.PNG	0.999815	-0.002251	-0.018633	-0.004137	1.692817	0.508993	0.056296
17	Kite_training/foggy/color_left/trajectory_2022/000072.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000072.PNG	0.999903	-0.003031	-0.013464	-0.002074	1.645849	0.507838	0.079412
18	Kite_training/foggy/color_left/trajectory_2022/000076.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000076.PNG	0.999960	-0.003224	-0.008322	-0.000636	1.603848	0.515793	0.124365
19	Kite_training/foggy/color_left/trajectory_2022/000080.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000080.PNG	0.999988	-0.002901	-0.003990	0.000272	1.564713	0.527816	0.188945
20	Kite_training/foggy/color_left/trajectory_2022/000084.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000084.PNG	0.999997	-0.002155	-0.001141	0.000699	1.526370	0.539487	0.268677
21	Kite_training/foggy/color_left/trajectory_2022/000088.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000088.PNG	0.999999	-0.001025	0.000213	0.000616	1.487412	0.552553	0.357571
22	Kite_training/foggy/color_left/trajectory_2022/000092.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000092.PNG	1.000000	0.000036	-0.000094	0.000281	1.446935	0.566554	0.449404
23	Kite_training/foggy/color_left/trajectory_2022/000096.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000096.PNG	0.999997	0.000504	-0.002264	0.000021	1.405415	0.579478	0.538290
24	Kite_training/foggy/color_left/trajectory_2022/000100.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000100.PNG	0.999980	0.000341	-0.006290	-0.000153	1.365390	0.590704	0.619736
25	Kite_training/foggy/color_left/trajectory_2022/000104.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000104.PNG	0.999937	0.000086	-0.011168	-0.000697	1.331302	0.599666	0.689862
26	Kite_training/foggy/color_left/trajectory_2022/000108.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000108.PNG	0.999878	0.000610	-0.015409	-0.002281	1.306727	0.607616	0.747111
27	Kite_training/foggy/color_left/trajectory_2022/000112.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000112.PNG	0.999807	0.002031	-0.018917	-0.004923	1.291039	0.618339	0.792702
28	Kite_training/foggy/color_left/trajectory_2022/000116.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000116.PNG	0.999728	0.003922	-0.021600	-0.007840	1.281484	0.633229	0.826793
29	Kite_training/foggy/color_left/trajectory_2022/000120.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000120.PNG	0.999674	0.005179	-0.023185	-0.009357	1.274127	0.647475	0.849430
30	Kite_training/foggy/color_left/trajectory_2022/000124.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000124.PNG	0.999662	0.005616	-0.023620	-0.009284	1.268885	0.655553	0.864597
31	Kite_training/foggy/color_left/trajectory_2022/000128.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000128.PNG	0.999677	0.005593	-0.023267	-0.008585	1.265762	0.653297	0.876570
32	Kite_training/foggy/color_left/trajectory_2022/000132.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000132.PNG	0.999660	0.006327	-0.023230	-0.009973	1.262757	0.642198	0.887325
33	Kite_training/foggy/color_left/trajectory_2022/000136.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000136.PNG	0.999590	0.008143	-0.023688	-0.013896	1.257311	0.629430	0.895348
34	Kite_training/foggy/color_left/trajectory_2022/000140.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000140.PNG	0.999459	0.010827	-0.024102	-0.019569	1.246853	0.623686	0.898115
35	Kite_training/foggy/color_left/trajectory_2022/000144.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000144.PNG	0.999427	0.012365	-0.021692	-0.022837	1.226927	0.634066	0.892532
36	Kite_training/foggy/color_left/trajectory_2022/000148.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000148.PNG	0.999560	0.011619	-0.015567	-0.022434	1.194034	0.652186	0.887464
37	Kite_training/foggy/color_left/trajectory_2022/000152.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000152.PNG	0.999761	0.008417	-0.006810	-0.018987	1.145597	0.663971	0.895941
38	Kite_training/foggy/color_left/trajectory_2022/000156.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000156.PNG	0.999871	0.005056	-0.001538	-0.015135	1.077999	0.660658	0.928201
39	Kite_training/foggy/color_left/trajectory_2022/000160.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000160.PNG	0.999924	0.003069	-0.002230	-0.011764	0.995547	0.642030	0.974915
40	Kite_training/foggy/color_left/trajectory_2022/000164.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000164.PNG	0.999922	0.002806	-0.008394	-0.008759	0.908530	0.611599	1.020542
41	Kite_training/foggy/color_left/trajectory_2022/000168.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000168.PNG	0.999871	0.003228	-0.014452	-0.006224	0.836486	0.574747	1.054237
42	Kite_training/foggy/color_left/trajectory_2022/000172.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000172.PNG	0.999853	0.003335	-0.016303	-0.004249	0.785746	0.535513	1.078193
43	Kite_training/foggy/color_left/trajectory_2022/000176.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000176.PNG	0.999895	0.003090	-0.013901	-0.002791	0.746823	0.495178	1.100950
44	Kite_training/foggy/color_left/trajectory_2022/000180.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000180.PNG	0.999951	0.002816	-0.009350	-0.001769	0.707949	0.455541	1.129197
45	Kite_training/foggy/color_left/trajectory_2022/000184.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000184.PNG	0.999979	0.002915	-0.005617	-0.001133	0.660898	0.419268	1.164807
46	Kite_training/foggy/color_left/trajectory_2022/000188.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000188.PNG	0.999990	0.003400	-0.002923	-0.000897	0.605852	0.388120	1.204916
47	Kite_training/foggy/color_left/trajectory_2022/000192.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000192.PNG	0.999992	0.003671	-0.001206	-0.001351	0.543701	0.362466	1.246976
48	Kite_training/foggy/color_left/trajectory_2022/000196.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000196.PNG	0.999992	0.002696	-0.000371	-0.002985	0.475242	0.340402	1.289611
49	Kite_training/foggy/color_left/trajectory_2022/000200.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000200.PNG	0.999983	0.000380	-0.000430	-0.005840	0.401628	0.319174	1.332257
50	Kite_training/foggy/color_left/trajectory_2022/000204.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2022/000204.PNG	0.999966	-0.001871	-0.001040	-0.007920	0.325285	0.292585	1.374708
