id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/sunny/color_left/trajectory_0002/000004.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000004.PNG	0.999945	0.004837	-0.005655	-0.007353	0.155401	-0.378685	1.681691
1	Kite_training/sunny/color_left/trajectory_0002/000008.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000008.PNG	0.999949	0.004622	-0.004197	-0.007956	0.164898	-0.363152	1.715358
2	Kite_training/sunny/color_left/trajectory_0002/000012.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000012.PNG	0.999959	0.003580	-0.002788	-0.007865	0.167030	-0.347495	1.746981
3	Kite_training/sunny/color_left/trajectory_0002/000016.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000016.PNG	0.999972	0.001753	-0.001480	-0.007106	0.161150	-0.335228	1.776126
4	Kite_training/sunny/color_left/trajectory_0002/000020.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000020.PNG	0.999981	0.000038	-0.000505	-0.006187	0.146861	-0.330217	1.803115
5	Kite_training/sunny/color_left/trajectory_0002/000024.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000024.PNG	0.999984	-0.000768	-0.000015	-0.005554	0.125070	-0.332886	1.828597
6	Kite_training/sunny/color_left/trajectory_0002/000028.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000028.PNG	0.999987	-0.000692	0.000049	-0.005117	0.097803	-0.339998	1.852970
7	Kite_training/sunny/color_left/trajectory_0002/000032.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000032.PNG	0.999992	-0.000391	-0.000003	-0.003946	0.067690	-0.347235	1.876731
8	Kite_training/sunny/color_left/trajectory_0002/000036.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000036.PNG	0.999999	-0.000221	-0.000021	-0.001546	0.035119	-0.353173	1.900052
9	Kite_training/sunny/color_left/trajectory_0002/000040.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000040.PNG	0.999998	-0.000165	-0.000008	0.001851	-0.000650	-0.358199	1.922864
10	Kite_training/sunny/color_left/trajectory_0002/000044.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000044.PNG	0.999991	-0.000057	0.000011	0.004215	-0.037783	-0.363191	1.945099
11	Kite_training/sunny/color_left/trajectory_0002/000048.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000048.PNG	0.999990	0.000189	0.000021	0.004519	-0.074254	-0.367883	1.966797
12	Kite_training/sunny/color_left/trajectory_0002/000052.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000052.PNG	0.999995	0.000536	0.000021	0.002980	-0.108716	-0.371537	1.988045
13	Kite_training/sunny/color_left/trajectory_0002/000056.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0002/000056.PNG	0.999999	0.000709	0.000020	0.001288	-0.140921	-0.372896	2.008802
