id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/spring/color_left/trajectory_5002/000004.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000004.PNG	0.997843	0.017986	0.059189	0.021958	-0.124434	-0.264272	1.114128
1	PLE_training/spring/color_left/trajectory_5002/000008.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000008.PNG	0.997768	0.020023	0.060810	0.018964	-0.183672	-0.215269	1.121123
2	PLE_training/spring/color_left/trajectory_5002/000012.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000012.PNG	0.998076	0.019497	0.056683	0.015848	-0.243899	-0.166403	1.121874
3	PLE_training/spring/color_left/trajectory_5002/000016.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000016.PNG	0.998649	0.016633	0.047560	0.012674	-0.292105	-0.124461	1.122012
4	PLE_training/spring/color_left/trajectory_5002/000020.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000020.PNG	0.999089	0.013892	0.038982	0.010451	-0.316671	-0.093291	1.126270
5	PLE_training/spring/color_left/trajectory_5002/000024.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000024.PNG	0.999310	0.012590	0.033557	0.009696	-0.318353	-0.071503	1.135313
6	PLE_training/spring/color_left/trajectory_5002/000028.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000028.PNG	0.999378	0.012813	0.031187	0.010346	-0.303944	-0.055373	1.147775
7	PLE_training/spring/color_left/trajectory_5002/000032.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000032.PNG	0.999431	0.013020	0.029694	0.009342	-0.282797	-0.040549	1.161994
8	PLE_training/spring/color_left/trajectory_5002/000036.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000036.PNG	0.999583	0.011081	0.026501	0.002930	-0.259847	-0.027676	1.177685
9	PLE_training/spring/color_left/trajectory_5002/000040.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000040.PNG	0.999706	0.006854	0.021575	-0.008634	-0.231010	-0.024163	1.196197
10	PLE_training/spring/color_left/trajectory_5002/000044.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000044.PNG	0.999680	0.002405	0.016159	-0.019335	-0.197874	-0.037803	1.221141
11	PLE_training/spring/color_left/trajectory_5002/000048.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000048.PNG	0.999628	-0.000577	0.011184	-0.024874	-0.162189	-0.067733	1.252634
12	PLE_training/spring/color_left/trajectory_5002/000052.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000052.PNG	0.999658	-0.001876	0.006794	-0.025192	-0.122770	-0.107447	1.287838
13	PLE_training/spring/color_left/trajectory_5002/000056.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000056.PNG	0.999746	-0.001626	0.003281	-0.022217	-0.080597	-0.152211	1.324897
14	PLE_training/spring/color_left/trajectory_5002/000060.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000060.PNG	0.999802	-0.000204	0.000951	-0.019894	-0.039312	-0.200127	1.363110
15	PLE_training/spring/color_left/trajectory_5002/000064.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000064.PNG	0.999823	0.002162	-0.000092	-0.018672	-0.001320	-0.249827	1.402041
16	PLE_training/spring/color_left/trajectory_5002/000068.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000068.PNG	0.999835	0.004343	-0.000140	-0.017644	0.031921	-0.293893	1.441176
17	PLE_training/spring/color_left/trajectory_5002/000072.JPEG	PLE_training/spring/stereo_disparity/trajectory_5002/000072.PNG	0.999875	0.004477	0.000018	-0.015142	0.059035	-0.322593	1.479115
