id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz	fx	fy	cx	cy
0	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000006.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000006.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000008.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000008.png	0.999999	0.000728	-0.000655	0.001385	0.020813	-0.010340	2.984123	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000010.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000010.png	0.999996	0.002628	-0.000211	0.000324	0.020356	-0.011828	2.978748	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000012.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000012.png	0.999996	-0.002485	0.000682	-0.000804	0.022757	0.008014	2.844810	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000009.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000009.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000011.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000011.png	1.000000	0.000232	0.000158	0.000017	0.024686	-0.001058	2.983093	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000013.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000013.png	0.999994	-0.003014	0.001217	-0.000918	0.023008	0.008026	2.986924	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000015.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000015.png	0.999997	-0.000209	0.001610	-0.001680	0.026740	0.000233	2.983737	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000014.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000014.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0019_sync/image_02/data/0000000016.png	train/2011_09_26_drive_0019_sync/proj_depth/groundtruth/image_02/0000000016.png	0.999998	0.000230	0.001717	-0.000708	0.028946	0.001472	2.983836	0.580948	1.924101	0.490788	0.460944
