id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz	fx	fy	cx	cy
0	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000070.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000070.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000072.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000072.png	1.000000	-0.000020	-0.000019	-0.000018	0.000679	0.000074	-0.000707	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000074.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000074.png	1.000000	0.000031	-0.000006	0.000015	0.000681	-0.000508	-0.001260	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000076.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000076.png	1.000000	-0.000012	0.000009	-0.000003	0.001801	-0.001360	-0.001325	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000195.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000195.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000197.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000197.png	0.999996	0.001179	0.002698	0.000180	0.006669	0.003576	0.434848	0.580948	1.924101	0.490788	0.460944
2	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000199.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000199.png	0.999993	0.001507	0.003371	-0.000419	0.007163	0.007255	0.552209	0.580948	1.924101	0.490788	0.460944
3	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000201.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000201.png	0.999993	0.000153	0.003707	0.000682	0.012250	0.005314	0.658974	0.580948	1.924101	0.490788	0.460944
0	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000200.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000200.png	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.580948	1.924101	0.490788	0.460944
1	2011_09_26/2011_09_26_drive_0018_sync/image_02/data/0000000202.png	train/2011_09_26_drive_0018_sync/proj_depth/groundtruth/image_02/0000000202.png	0.999993	-0.000957	0.003641	0.000658	0.011711	0.004456	0.709064	0.580948	1.924101	0.490788	0.460944
