id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/cloudy/color_left/trajectory_3020/000004.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000004.PNG	0.999988	-0.003998	0.000747	-0.002879	-0.393132	0.053261	2.150868
1	Kite_training/cloudy/color_left/trajectory_3020/000008.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000008.PNG	0.999997	-0.001641	0.000258	-0.001839	-0.383934	0.015574	2.177079
2	Kite_training/cloudy/color_left/trajectory_3020/000012.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000012.PNG	0.999995	0.003130	0.000011	-0.000681	-0.373828	-0.016957	2.203405
3	Kite_training/cloudy/color_left/trajectory_3020/000016.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000016.PNG	0.999954	0.009576	0.000105	0.000662	-0.363462	-0.034042	2.229125
4	Kite_training/cloudy/color_left/trajectory_3020/000020.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000020.PNG	0.999911	0.013054	0.001228	0.002583	-0.351125	-0.032923	2.248693
5	Kite_training/cloudy/color_left/trajectory_3020/000024.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000024.PNG	0.999910	0.011782	0.003675	0.005173	-0.340365	-0.028571	2.259972
6	Kite_training/cloudy/color_left/trajectory_3020/000028.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000028.PNG	0.999920	0.006267	0.007353	0.008156	-0.337818	-0.040260	2.263737
7	Kite_training/cloudy/color_left/trajectory_3020/000032.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000032.PNG	0.999899	0.000628	0.010612	0.009385	-0.350834	-0.066412	2.263886
8	Kite_training/cloudy/color_left/trajectory_3020/000036.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000036.PNG	0.999888	-0.003042	0.012464	0.007756	-0.377910	-0.097542	2.261514
9	Kite_training/cloudy/color_left/trajectory_3020/000040.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3020/000040.PNG	0.999901	-0.004865	0.012792	0.003290	-0.411557	-0.126908	2.256794
