id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/foggy/color_left/trajectory_2007/000004.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000004.PNG	0.999980	-0.005681	0.002359	-0.001732	-0.050253	0.266222	1.298209
1	Kite_training/foggy/color_left/trajectory_2007/000008.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000008.PNG	0.999975	-0.006641	0.002304	-0.001011	-0.055339	0.219334	1.299613
2	Kite_training/foggy/color_left/trajectory_2007/000012.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000012.PNG	0.999967	-0.007789	0.002166	-0.000563	-0.060997	0.165918	1.303736
3	Kite_training/foggy/color_left/trajectory_2007/000016.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000016.PNG	0.999958	-0.009004	0.001933	-0.000341	-0.067168	0.105394	1.310384
4	Kite_training/foggy/color_left/trajectory_2007/000020.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000020.PNG	0.999953	-0.009526	0.001549	-0.000029	-0.073054	0.037821	1.320594
5	Kite_training/foggy/color_left/trajectory_2007/000024.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000024.PNG	0.999958	-0.009059	0.001001	0.000486	-0.078078	-0.035075	1.334445
6	Kite_training/foggy/color_left/trajectory_2007/000028.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000028.PNG	0.999970	-0.007659	0.000363	0.001035	-0.081786	-0.109248	1.351569
7	Kite_training/foggy/color_left/trajectory_2007/000032.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000032.PNG	0.999984	-0.005655	0.000060	0.000685	-0.083055	-0.172520	1.371128
8	Kite_training/foggy/color_left/trajectory_2007/000036.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000036.PNG	0.999995	-0.003164	0.000238	-0.000893	-0.082100	-0.219728	1.393768
9	Kite_training/foggy/color_left/trajectory_2007/000040.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000040.PNG	0.999993	-0.000150	0.000742	-0.003574	-0.080078	-0.249542	1.419945
10	Kite_training/foggy/color_left/trajectory_2007/000044.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000044.PNG	0.999972	0.003716	0.000276	-0.006443	-0.081808	-0.260475	1.445469
11	Kite_training/foggy/color_left/trajectory_2007/000048.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000048.PNG	0.999920	0.008647	-0.001726	-0.009023	-0.086757	-0.249829	1.468599
12	Kite_training/foggy/color_left/trajectory_2007/000052.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000052.PNG	0.999817	0.014601	-0.005298	-0.011177	-0.091220	-0.213383	1.489369
13	Kite_training/foggy/color_left/trajectory_2007/000056.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000056.PNG	0.999659	0.018973	-0.012884	-0.012499	-0.093030	-0.131648	1.506478
14	Kite_training/foggy/color_left/trajectory_2007/000060.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000060.PNG	0.999368	0.019577	-0.027002	-0.012303	-0.084486	0.005511	1.514538
15	Kite_training/foggy/color_left/trajectory_2007/000064.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000064.PNG	0.998659	0.016686	-0.047921	-0.010271	-0.049841	0.186349	1.506160
16	Kite_training/foggy/color_left/trajectory_2007/000068.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000068.PNG	0.997507	0.012599	-0.069043	-0.007407	0.036544	0.376018	1.476607
17	Kite_training/foggy/color_left/trajectory_2007/000072.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000072.PNG	0.996798	0.010528	-0.079070	-0.005479	0.187262	0.531715	1.423166
18	Kite_training/foggy/color_left/trajectory_2007/000076.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000076.PNG	0.996978	0.010353	-0.076857	-0.004488	0.366228	0.655642	1.341453
19	Kite_training/foggy/color_left/trajectory_2007/000080.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000080.PNG	0.997826	0.010529	-0.064954	-0.003705	0.531817	0.746065	1.237416
20	Kite_training/foggy/color_left/trajectory_2007/000084.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000084.PNG	0.998734	0.007843	-0.049616	-0.002481	0.653355	0.786889	1.128896
21	Kite_training/foggy/color_left/trajectory_2007/000088.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000088.PNG	0.999491	0.001890	-0.031846	-0.000925	0.730234	0.768732	1.038621
22	Kite_training/foggy/color_left/trajectory_2007/000092.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000092.PNG	0.999878	-0.004652	-0.014894	0.000197	0.764343	0.706598	0.985285
23	Kite_training/foggy/color_left/trajectory_2007/000096.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000096.PNG	0.999963	-0.007792	-0.003679	-0.000324	0.758968	0.633144	0.971646
24	Kite_training/foggy/color_left/trajectory_2007/000100.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000100.PNG	0.999969	-0.007208	0.001360	-0.002749	0.724991	0.560237	0.981998
25	Kite_training/foggy/color_left/trajectory_2007/000104.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000104.PNG	0.999971	-0.003538	0.000357	-0.006754	0.672276	0.498704	1.000495
26	Kite_training/foggy/color_left/trajectory_2007/000108.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000108.PNG	0.999937	0.000243	-0.006101	-0.009392	0.609473	0.462889	1.012995
27	Kite_training/foggy/color_left/trajectory_2007/000112.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000112.PNG	0.999788	0.003458	-0.017845	-0.009703	0.548363	0.452305	1.013533
28	Kite_training/foggy/color_left/trajectory_2007/000116.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000116.PNG	0.999390	0.006265	-0.033414	-0.007955	0.502752	0.460961	0.998610
29	Kite_training/foggy/color_left/trajectory_2007/000120.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000120.PNG	0.999074	0.008430	-0.041758	-0.005965	0.493848	0.474634	0.964887
30	Kite_training/foggy/color_left/trajectory_2007/000124.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000124.PNG	0.999224	0.009619	-0.037954	-0.004359	0.511364	0.487091	0.920849
31	Kite_training/foggy/color_left/trajectory_2007/000128.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000128.PNG	0.999678	0.009815	-0.023183	-0.003208	0.530024	0.495956	0.880515
32	Kite_training/foggy/color_left/trajectory_2007/000132.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000132.PNG	0.999908	0.009343	-0.008796	-0.004357	0.519184	0.492090	0.855502
33	Kite_training/foggy/color_left/trajectory_2007/000136.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000136.PNG	0.999926	0.008371	-0.001049	-0.008777	0.472460	0.472305	0.844657
34	Kite_training/foggy/color_left/trajectory_2007/000140.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000140.PNG	0.999849	0.006987	0.000227	-0.015896	0.399375	0.438366	0.839892
35	Kite_training/foggy/color_left/trajectory_2007/000144.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000144.PNG	0.999803	0.005425	-0.000930	-0.019091	0.310801	0.400133	0.835222
36	Kite_training/foggy/color_left/trajectory_2007/000148.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000148.PNG	0.999907	0.003648	-0.001247	-0.013085	0.215755	0.360486	0.829196
37	Kite_training/foggy/color_left/trajectory_2007/000152.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000152.PNG	0.999996	0.001527	-0.000685	0.002104	0.119524	0.314620	0.822410
38	Kite_training/foggy/color_left/trajectory_2007/000156.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000156.PNG	0.999796	-0.001623	0.000012	0.020119	0.033956	0.267138	0.817333
39	Kite_training/foggy/color_left/trajectory_2007/000160.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000160.PNG	0.999451	-0.006716	0.000075	0.032445	-0.030131	0.227551	0.816860
40	Kite_training/foggy/color_left/trajectory_2007/000164.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000164.PNG	0.999162	-0.013812	0.000078	0.038527	-0.075809	0.197356	0.821025
41	Kite_training/foggy/color_left/trajectory_2007/000168.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000168.PNG	0.999075	-0.018996	0.001581	0.038545	-0.105006	0.175384	0.831506
42	Kite_training/foggy/color_left/trajectory_2007/000172.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000172.PNG	0.999309	-0.016918	0.004904	0.032734	-0.119602	0.163988	0.850325
43	Kite_training/foggy/color_left/trajectory_2007/000176.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2007/000176.PNG	0.999716	-0.007140	0.008512	0.021087	-0.121625	0.169214	0.877020
