id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/sunny/color_left/trajectory_0023/000004.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000004.PNG	0.999930	-0.000379	0.011501	0.002920	-0.702917	-0.360762	2.569344
1	Kite_training/sunny/color_left/trajectory_0023/000008.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000008.PNG	0.999925	-0.000210	0.012008	0.002594	-0.759750	-0.339115	2.566208
2	Kite_training/sunny/color_left/trajectory_0023/000012.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000012.PNG	0.999937	-0.000784	0.010914	0.002470	-0.819874	-0.318484	2.561471
3	Kite_training/sunny/color_left/trajectory_0023/000016.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000016.PNG	0.999959	-0.001900	0.008486	0.002487	-0.874967	-0.302233	2.557488
4	Kite_training/sunny/color_left/trajectory_0023/000020.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000020.PNG	0.999976	-0.002678	0.006010	0.002316	-0.916901	-0.292003	2.557447
5	Kite_training/sunny/color_left/trajectory_0023/000024.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000024.PNG	0.999987	-0.002866	0.003868	0.001849	-0.944946	-0.286247	2.562490
6	Kite_training/sunny/color_left/trajectory_0023/000028.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000028.PNG	0.999994	-0.002577	0.002076	0.001120	-0.960680	-0.282461	2.572715
7	Kite_training/sunny/color_left/trajectory_0023/000032.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000032.PNG	0.999995	-0.002863	0.000809	0.000504	-0.966067	-0.276965	2.587575
8	Kite_training/sunny/color_left/trajectory_0023/000036.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000036.PNG	0.999991	-0.004316	0.000169	0.000216	-0.964001	-0.271551	2.605600
9	Kite_training/sunny/color_left/trajectory_0023/000040.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000040.PNG	0.999977	-0.006711	0.000105	0.000233	-0.957894	-0.272050	2.625053
10	Kite_training/sunny/color_left/trajectory_0023/000044.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000044.PNG	0.999968	-0.007970	0.000181	0.000228	-0.951375	-0.285793	2.645232
11	Kite_training/sunny/color_left/trajectory_0023/000048.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000048.PNG	0.999976	-0.006987	0.000159	0.000020	-0.945421	-0.308600	2.666918
12	Kite_training/sunny/color_left/trajectory_0023/000052.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000052.PNG	0.999993	-0.003853	0.000067	-0.000369	-0.939373	-0.329020	2.691557
13	Kite_training/sunny/color_left/trajectory_0023/000056.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000056.PNG	1.000000	-0.000592	0.000518	-0.000400	-0.932226	-0.334492	2.719094
14	Kite_training/sunny/color_left/trajectory_0023/000060.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000060.PNG	0.999997	0.000929	0.002069	0.000426	-0.926726	-0.322076	2.747048
15	Kite_training/sunny/color_left/trajectory_0023/000064.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000064.PNG	0.999987	0.000670	0.004702	0.002099	-0.929568	-0.299283	2.772017
16	Kite_training/sunny/color_left/trajectory_0023/000068.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000068.PNG	0.999967	-0.000285	0.007119	0.003828	-0.947807	-0.275720	2.790831
17	Kite_training/sunny/color_left/trajectory_0023/000072.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000072.PNG	0.999960	-0.000540	0.007629	0.004584	-0.980874	-0.257018	2.803487
18	Kite_training/sunny/color_left/trajectory_0023/000076.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000076.PNG	0.999972	-0.000028	0.006128	0.004292	-1.017622	-0.241165	2.813943
19	Kite_training/sunny/color_left/trajectory_0023/000080.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000080.PNG	0.999987	0.000942	0.003597	0.003530	-1.045452	-0.224553	2.826591
20	Kite_training/sunny/color_left/trajectory_0023/000084.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000084.PNG	0.999991	0.001870	0.001763	0.003331	-1.056873	-0.203206	2.843739
21	Kite_training/sunny/color_left/trajectory_0023/000088.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000088.PNG	0.999989	0.002716	0.000796	0.003800	-1.055699	-0.175965	2.863930
22	Kite_training/sunny/color_left/trajectory_0023/000092.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000092.PNG	0.999983	0.003469	0.000737	0.004733	-1.046596	-0.144161	2.884705
23	Kite_training/sunny/color_left/trajectory_0023/000096.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000096.PNG	0.999974	0.004089	0.001692	0.005612	-1.034059	-0.113182	2.902873
24	Kite_training/sunny/color_left/trajectory_0023/000100.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000100.PNG	0.999963	0.004597	0.003692	0.006335	-1.023905	-0.084929	2.916179
25	Kite_training/sunny/color_left/trajectory_0023/000104.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000104.PNG	0.999945	0.004929	0.006353	0.006757	-1.022628	-0.059820	2.922653
26	Kite_training/sunny/color_left/trajectory_0023/000108.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000108.PNG	0.999940	0.004612	0.007726	0.006320	-1.035429	-0.036319	2.921225
27	Kite_training/sunny/color_left/trajectory_0023/000112.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000112.PNG	0.999956	0.003449	0.007213	0.004907	-1.055158	-0.019025	2.914660
28	Kite_training/sunny/color_left/trajectory_0023/000116.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000116.PNG	0.999982	0.001616	0.005155	0.002784	-1.070978	-0.014399	2.907435
29	Kite_training/sunny/color_left/trajectory_0023/000120.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000120.PNG	0.999994	0.000173	0.003223	0.001041	-1.074392	-0.024866	2.904531
30	Kite_training/sunny/color_left/trajectory_0023/000124.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000124.PNG	0.999998	-0.000539	0.001928	-0.000009	-1.066200	-0.046383	2.906056
31	Kite_training/sunny/color_left/trajectory_0023/000128.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000128.PNG	0.999999	-0.000549	0.001239	-0.000345	-1.049992	-0.073182	2.910468
32	Kite_training/sunny/color_left/trajectory_0023/000132.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000132.PNG	1.000000	-0.000277	0.000847	0.000344	-1.029517	-0.100122	2.916283
33	Kite_training/sunny/color_left/trajectory_0023/000136.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000136.PNG	0.999997	0.000021	0.000563	0.002245	-1.006856	-0.123765	2.922799
34	Kite_training/sunny/color_left/trajectory_0023/000140.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000140.PNG	0.999986	0.000334	0.000378	0.005248	-0.982930	-0.141734	2.929779
35	Kite_training/sunny/color_left/trajectory_0023/000144.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000144.PNG	0.999971	0.000593	0.000252	0.007600	-0.956826	-0.153016	2.936754
36	Kite_training/sunny/color_left/trajectory_0023/000148.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000148.PNG	0.999968	0.000742	0.000159	0.007929	-0.927340	-0.160424	2.943382
37	Kite_training/sunny/color_left/trajectory_0023/000152.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000152.PNG	0.999980	0.000780	0.000105	0.006278	-0.894202	-0.168760	2.949569
38	Kite_training/sunny/color_left/trajectory_0023/000156.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000156.PNG	0.999992	0.000688	0.000082	0.004061	-0.858323	-0.181087	2.955310
39	Kite_training/sunny/color_left/trajectory_0023/000160.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000160.PNG	0.999997	0.000453	0.000081	0.002500	-0.820667	-0.197756	2.960581
40	Kite_training/sunny/color_left/trajectory_0023/000164.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000164.PNG	0.999999	0.000079	0.000100	0.001634	-0.781450	-0.218073	2.965290
41	Kite_training/sunny/color_left/trajectory_0023/000168.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000168.PNG	0.999999	-0.000248	0.000124	0.001410	-0.741189	-0.241014	2.969778
42	Kite_training/sunny/color_left/trajectory_0023/000172.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000172.PNG	0.999998	-0.000292	0.000130	0.001758	-0.700455	-0.264601	2.974615
43	Kite_training/sunny/color_left/trajectory_0023/000176.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000176.PNG	0.999996	-0.000038	0.000116	0.002656	-0.659458	-0.286312	2.979976
44	Kite_training/sunny/color_left/trajectory_0023/000180.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000180.PNG	0.999997	0.000312	0.000094	0.002619	-0.618793	-0.304076	2.985006
45	Kite_training/sunny/color_left/trajectory_0023/000184.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000184.PNG	0.999999	0.000412	0.000094	-0.000915	-0.578501	-0.319106	2.987970
46	Kite_training/sunny/color_left/trajectory_0023/000188.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000188.PNG	0.999966	0.000228	0.000124	-0.008195	-0.536410	-0.336680	2.988528
47	Kite_training/sunny/color_left/trajectory_0023/000192.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000192.PNG	0.999858	-0.000213	0.000169	-0.016828	-0.492124	-0.360378	2.987791
48	Kite_training/sunny/color_left/trajectory_0023/000196.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000196.PNG	0.999788	-0.000840	0.000195	-0.020559	-0.450383	-0.388984	2.989013
49	Kite_training/sunny/color_left/trajectory_0023/000200.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000200.PNG	0.999830	-0.001637	0.000177	-0.018378	-0.415225	-0.418007	2.992564
50	Kite_training/sunny/color_left/trajectory_0023/000204.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000204.PNG	0.999931	-0.002471	0.000119	-0.011477	-0.390231	-0.444574	2.997862
51	Kite_training/sunny/color_left/trajectory_0023/000208.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000208.PNG	0.999982	-0.002734	0.000062	-0.005409	-0.374383	-0.467534	3.002993
52	Kite_training/sunny/color_left/trajectory_0023/000212.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000212.PNG	0.999996	-0.002252	0.000042	-0.001786	-0.366058	-0.485238	3.007937
53	Kite_training/sunny/color_left/trajectory_0023/000216.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000216.PNG	0.999999	-0.001105	0.000052	-0.000477	-0.363416	-0.495520	3.013421
54	Kite_training/sunny/color_left/trajectory_0023/000220.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000220.PNG	1.000000	-0.000095	0.000062	-0.000158	-0.362845	-0.497629	3.019899
55	Kite_training/sunny/color_left/trajectory_0023/000224.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000224.PNG	1.000000	0.000314	0.000056	-0.000061	-0.362411	-0.493948	3.027103
56	Kite_training/sunny/color_left/trajectory_0023/000228.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000228.PNG	1.000000	0.000174	0.000036	-0.000151	-0.361784	-0.488155	3.034424
57	Kite_training/sunny/color_left/trajectory_0023/000232.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000232.PNG	1.000000	0.000127	0.000034	-0.000140	-0.360717	-0.482626	3.041203
58	Kite_training/sunny/color_left/trajectory_0023/000236.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000236.PNG	1.000000	0.000563	0.000068	0.000148	-0.359428	-0.476073	3.047443
59	Kite_training/sunny/color_left/trajectory_0023/000240.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000240.PNG	0.999999	0.001433	0.000121	0.000651	-0.358446	-0.465510	3.053540
60	Kite_training/sunny/color_left/trajectory_0023/000244.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000244.PNG	0.999998	0.002028	-0.000049	0.000522	-0.358603	-0.450337	3.059520
61	Kite_training/sunny/color_left/trajectory_0023/000248.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000248.PNG	0.999998	0.001844	-0.000610	-0.000835	-0.358328	-0.434253	3.065021
62	Kite_training/sunny/color_left/trajectory_0023/000252.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000252.PNG	0.999993	0.000969	-0.001496	-0.003203	-0.354241	-0.422416	3.069685
63	Kite_training/sunny/color_left/trajectory_0023/000256.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000256.PNG	0.999986	0.000120	-0.002202	-0.004908	-0.343921	-0.415839	3.073455
64	Kite_training/sunny/color_left/trajectory_0023/000260.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000260.PNG	0.999983	-0.000394	-0.002501	-0.005202	-0.329267	-0.412088	3.076337
65	Kite_training/sunny/color_left/trajectory_0023/000264.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000264.PNG	0.999989	-0.000587	-0.002394	-0.004094	-0.314053	-0.408106	3.078345
66	Kite_training/sunny/color_left/trajectory_0023/000268.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000268.PNG	0.999993	-0.000544	-0.002749	-0.002508	-0.302362	-0.401057	3.080029
67	Kite_training/sunny/color_left/trajectory_0023/000272.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000272.PNG	0.999986	-0.000376	-0.004993	-0.001963	-0.292355	-0.389248	3.082714
68	Kite_training/sunny/color_left/trajectory_0023/000276.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000276.PNG	0.999954	-0.000091	-0.009236	-0.002599	-0.271540	-0.372548	3.087550
69	Kite_training/sunny/color_left/trajectory_0023/000280.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000280.PNG	0.999903	0.000254	-0.013440	-0.003721	-0.224445	-0.352234	3.094634
70	Kite_training/sunny/color_left/trajectory_0023/000284.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000284.PNG	0.999895	0.000569	-0.013911	-0.004055	-0.147006	-0.330520	3.101809
71	Kite_training/sunny/color_left/trajectory_0023/000288.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000288.PNG	0.999941	0.000854	-0.010259	-0.003466	-0.062563	-0.307315	3.106673
72	Kite_training/sunny/color_left/trajectory_0023/000292.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000292.PNG	0.999989	0.001057	-0.004044	-0.002309	0.000923	-0.282997	3.109025
73	Kite_training/sunny/color_left/trajectory_0023/000296.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000296.PNG	0.999998	0.001020	-0.000370	-0.001709	0.021792	-0.259337	3.110214
74	Kite_training/sunny/color_left/trajectory_0023/000300.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000300.PNG	0.999998	0.000732	-0.000281	-0.001879	0.015131	-0.238255	3.110797
75	Kite_training/sunny/color_left/trajectory_0023/000304.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000304.PNG	0.999991	0.000290	-0.003385	-0.002707	0.004089	-0.221203	3.110614
76	Kite_training/sunny/color_left/trajectory_0023/000308.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000308.PNG	0.999975	0.000277	-0.006199	-0.003369	0.012465	-0.207573	3.109993
77	Kite_training/sunny/color_left/trajectory_0023/000312.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000312.PNG	0.999970	0.000965	-0.006922	-0.003438	0.040190	-0.193794	3.109216
78	Kite_training/sunny/color_left/trajectory_0023/000316.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000316.PNG	0.999977	0.002289	-0.005638	-0.002951	0.073850	-0.175656	3.108359
79	Kite_training/sunny/color_left/trajectory_0023/000320.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000320.PNG	0.999983	0.003585	-0.003755	-0.002583	0.098943	-0.152404	3.106764
80	Kite_training/sunny/color_left/trajectory_0023/000324.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000324.PNG	0.999984	0.004375	-0.002310	-0.002829	0.110528	-0.126602	3.103861
81	Kite_training/sunny/color_left/trajectory_0023/000328.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000328.PNG	0.999982	0.004661	-0.001318	-0.003668	0.111490	-0.101420	3.099504
82	Kite_training/sunny/color_left/trajectory_0023/000332.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000332.PNG	0.999979	0.004623	-0.000666	-0.004382	0.104338	-0.079513	3.093500
83	Kite_training/sunny/color_left/trajectory_0023/000336.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000336.PNG	0.999981	0.004432	-0.000252	-0.004298	0.090769	-0.062634	3.085753
84	Kite_training/sunny/color_left/trajectory_0023/000340.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000340.PNG	0.999986	0.004098	-0.000082	-0.003402	0.072258	-0.052014	3.076309
85	Kite_training/sunny/color_left/trajectory_0023/000344.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000344.PNG	0.999991	0.003563	-0.000051	-0.002297	0.050753	-0.048419	3.065370
86	Kite_training/sunny/color_left/trajectory_0023/000348.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000348.PNG	0.999995	0.002750	-0.000017	-0.001751	0.027661	-0.052651	3.053184
87	Kite_training/sunny/color_left/trajectory_0023/000352.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000352.PNG	0.999997	0.001656	0.000031	-0.001812	0.003084	-0.066223	3.039804
88	Kite_training/sunny/color_left/trajectory_0023/000356.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000356.PNG	0.999998	0.000571	0.000077	-0.002096	-0.022795	-0.089969	3.025663
89	Kite_training/sunny/color_left/trajectory_0023/000360.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000360.PNG	0.999998	0.000100	0.000095	-0.001808	-0.049538	-0.122164	3.011641
90	Kite_training/sunny/color_left/trajectory_0023/000364.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000364.PNG	1.000000	0.000317	0.000086	-0.000851	-0.077009	-0.158791	2.997853
91	Kite_training/sunny/color_left/trajectory_0023/000368.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000368.PNG	1.000000	0.000880	0.000064	0.000258	-0.104964	-0.194229	2.984544
92	Kite_training/sunny/color_left/trajectory_0023/000372.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000372.PNG	0.999999	0.001079	0.000043	0.000443	-0.132767	-0.223539	2.972079
93	Kite_training/sunny/color_left/trajectory_0023/000376.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000376.PNG	1.000000	0.000824	0.000027	-0.000428	-0.160062	-0.248695	2.960386
94	Kite_training/sunny/color_left/trajectory_0023/000380.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000380.PNG	0.999999	0.000188	0.000020	-0.001645	-0.186733	-0.272879	2.949141
95	Kite_training/sunny/color_left/trajectory_0023/000384.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000384.PNG	0.999999	-0.000636	0.000028	-0.001275	-0.213611	-0.298963	2.937815
96	Kite_training/sunny/color_left/trajectory_0023/000388.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000388.PNG	0.999998	-0.001615	0.000056	0.001007	-0.241822	-0.327505	2.926132
97	Kite_training/sunny/color_left/trajectory_0023/000392.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000392.PNG	0.999985	-0.002721	0.000103	0.004827	-0.272167	-0.357532	2.914151
98	Kite_training/sunny/color_left/trajectory_0023/000396.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000396.PNG	0.999959	-0.003816	0.000112	0.008188	-0.302387	-0.384570	2.903335
99	Kite_training/sunny/color_left/trajectory_0023/000400.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000400.PNG	0.999934	-0.004857	0.000070	0.010429	-0.330928	-0.406995	2.894228
100	Kite_training/sunny/color_left/trajectory_0023/000404.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000404.PNG	0.999917	-0.005802	-0.000002	0.011490	-0.356558	-0.425045	2.886961
101	Kite_training/sunny/color_left/trajectory_0023/000408.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000408.PNG	0.999920	-0.006322	0.000026	0.010962	-0.377839	-0.439702	2.881761
102	Kite_training/sunny/color_left/trajectory_0023/000412.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000412.PNG	0.999943	-0.006267	0.000162	0.008672	-0.393589	-0.450344	2.879121
103	Kite_training/sunny/color_left/trajectory_0023/000416.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000416.PNG	0.999972	-0.005660	0.000333	0.004848	-0.402810	-0.455812	2.879595
104	Kite_training/sunny/color_left/trajectory_0023/000420.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000420.PNG	0.999987	-0.004776	0.000342	0.001684	-0.407399	-0.456783	2.882679
105	Kite_training/sunny/color_left/trajectory_0023/000424.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000424.PNG	0.999993	-0.003773	0.000109	0.000405	-0.408921	-0.452505	2.888185
106	Kite_training/sunny/color_left/trajectory_0023/000428.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000428.PNG	0.999996	-0.002659	-0.000309	0.000981	-0.407788	-0.440892	2.896425
107	Kite_training/sunny/color_left/trajectory_0023/000432.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000432.PNG	0.999996	-0.001615	-0.000056	0.002434	-0.403340	-0.422296	2.906994
108	Kite_training/sunny/color_left/trajectory_0023/000436.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000436.PNG	0.999991	-0.000819	0.001772	0.003726	-0.398764	-0.399093	2.918484
109	Kite_training/sunny/color_left/trajectory_0023/000440.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000440.PNG	0.999975	-0.000249	0.005189	0.004813	-0.402934	-0.372933	2.929223
110	Kite_training/sunny/color_left/trajectory_0023/000444.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000444.PNG	0.999945	0.000193	0.008785	0.005709	-0.426123	-0.344059	2.937355
111	Kite_training/sunny/color_left/trajectory_0023/000448.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000448.PNG	0.999924	0.000596	0.010541	0.006434	-0.470879	-0.311541	2.941892
112	Kite_training/sunny/color_left/trajectory_0023/000452.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000452.PNG	0.999922	0.000940	0.010305	0.006988	-0.526261	-0.275374	2.943836
113	Kite_training/sunny/color_left/trajectory_0023/000456.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000456.PNG	0.999936	0.001316	0.008633	0.007189	-0.579356	-0.237635	2.944740
114	Kite_training/sunny/color_left/trajectory_0023/000460.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000460.PNG	0.999954	0.001950	0.006657	0.006663	-0.619627	-0.202106	2.946092
115	Kite_training/sunny/color_left/trajectory_0023/000464.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000464.PNG	0.999971	0.002858	0.004510	0.005368	-0.644891	-0.168836	2.948809
116	Kite_training/sunny/color_left/trajectory_0023/000468.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000468.PNG	0.999983	0.003821	0.002358	0.003691	-0.654264	-0.136344	2.953262
117	Kite_training/sunny/color_left/trajectory_0023/000472.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000472.PNG	0.999987	0.004062	0.000838	0.003029	-0.648380	-0.100766	2.958559
118	Kite_training/sunny/color_left/trajectory_0023/000476.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000476.PNG	0.999987	0.003415	0.000109	0.003696	-0.631426	-0.064143	2.963344
119	Kite_training/sunny/color_left/trajectory_0023/000480.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000480.PNG	0.999983	0.002102	0.000078	0.005358	-0.608103	-0.030653	2.966636
120	Kite_training/sunny/color_left/trajectory_0023/000484.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000484.PNG	0.999979	0.001226	0.000177	0.006347	-0.581742	-0.005811	2.968807
121	Kite_training/sunny/color_left/trajectory_0023/000488.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000488.PNG	0.999981	0.001139	0.000204	0.006122	-0.552849	0.011032	2.970278
122	Kite_training/sunny/color_left/trajectory_0023/000492.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000492.PNG	0.999987	0.001740	0.000143	0.004784	-0.521244	0.023195	2.971164
123	Kite_training/sunny/color_left/trajectory_0023/000496.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000496.PNG	0.999992	0.002159	0.000067	0.003231	-0.487625	0.035277	2.971131
124	Kite_training/sunny/color_left/trajectory_0023/000500.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000500.PNG	0.999996	0.001941	0.000033	0.001935	-0.452548	0.047082	2.969971
125	Kite_training/sunny/color_left/trajectory_0023/000504.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000504.PNG	0.999999	0.001154	0.000048	0.000884	-0.416345	0.055396	2.967754
126	Kite_training/sunny/color_left/trajectory_0023/000508.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0023/000508.PNG	0.999999	0.001092	0.000086	-0.000225	-0.379745	0.058374	2.965465
