id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/spring/color_left/trajectory_5019/000004.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000004.PNG	0.999997	0.002398	-0.000033	-0.000091	0.188954	-1.118312	1.677208
1	PLE_training/spring/color_left/trajectory_5019/000008.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000008.PNG	0.999998	0.000168	-0.000001	-0.001860	0.206612	-1.109345	1.665340
2	PLE_training/spring/color_left/trajectory_5019/000012.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000012.PNG	0.999979	-0.004071	0.000022	-0.004966	0.226860	-1.105831	1.649723
3	PLE_training/spring/color_left/trajectory_5019/000016.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000016.PNG	0.999910	-0.009729	-0.000059	-0.009251	0.252523	-1.108358	1.625978
4	PLE_training/spring/color_left/trajectory_5019/000020.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000020.PNG	0.999817	-0.013287	-0.000177	-0.013739	0.284978	-1.090780	1.592514
5	PLE_training/spring/color_left/trajectory_5019/000024.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000024.PNG	0.999747	-0.013463	-0.000138	-0.018039	0.321426	-1.034254	1.557493
6	PLE_training/spring/color_left/trajectory_5019/000028.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000028.PNG	0.999703	-0.010423	0.000330	-0.022019	0.355450	-0.929059	1.532469
7	PLE_training/spring/color_left/trajectory_5019/000032.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000032.PNG	0.999694	-0.006742	0.000656	-0.023805	0.378803	-0.788605	1.523280
8	PLE_training/spring/color_left/trajectory_5019/000036.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000036.PNG	0.999753	-0.004640	-0.000044	-0.021719	0.384823	-0.634524	1.526007
9	PLE_training/spring/color_left/trajectory_5019/000040.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000040.PNG	0.999865	-0.004015	-0.002041	-0.015812	0.370940	-0.477104	1.534847
10	PLE_training/spring/color_left/trajectory_5019/000044.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000044.PNG	0.999928	-0.003534	-0.007241	-0.008947	0.340321	-0.325845	1.545929
11	PLE_training/spring/color_left/trajectory_5019/000048.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000048.PNG	0.999829	-0.001606	-0.017814	-0.004756	0.307961	-0.182747	1.556695
12	PLE_training/spring/color_left/trajectory_5019/000052.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000052.PNG	0.999422	0.001700	-0.033751	-0.003615	0.297696	-0.040128	1.563816
13	PLE_training/spring/color_left/trajectory_5019/000056.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000056.PNG	0.998733	0.005011	-0.049860	-0.004679	0.335452	0.113288	1.560790
14	PLE_training/spring/color_left/trajectory_5019/000060.JPEG	PLE_training/spring/stereo_disparity/trajectory_5019/000060.PNG	0.998190	0.006857	-0.059390	-0.006548	0.428242	0.284619	1.539738
