id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/cloudy/color_left/trajectory_3026/000004.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000004.PNG	0.999711	-0.002696	-0.004951	0.023349	0.632814	-0.324161	0.922123
1	Kite_training/cloudy/color_left/trajectory_3026/000008.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000008.PNG	0.999608	0.000296	-0.002571	0.027878	0.598150	-0.346517	0.909078
2	Kite_training/cloudy/color_left/trajectory_3026/000012.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000012.PNG	0.999691	0.006047	-0.002587	0.023981	0.561871	-0.360201	0.901360
3	Kite_training/cloudy/color_left/trajectory_3026/000016.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000016.PNG	0.999805	0.012915	-0.003645	0.014480	0.536280	-0.350092	0.896176
4	Kite_training/cloudy/color_left/trajectory_3026/000020.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000020.PNG	0.999829	0.016854	-0.000706	0.007639	0.530104	-0.306444	0.887798
5	Kite_training/cloudy/color_left/trajectory_3026/000024.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000024.PNG	0.999813	0.017287	0.007386	0.004540	0.534331	-0.238675	0.875452
6	Kite_training/cloudy/color_left/trajectory_3026/000028.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000028.PNG	0.999688	0.014490	0.019900	0.004239	0.536139	-0.157919	0.861074
7	Kite_training/cloudy/color_left/trajectory_3026/000032.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000032.PNG	0.999451	0.009691	0.031529	0.003194	0.519519	-0.071948	0.849443
8	Kite_training/cloudy/color_left/trajectory_3026/000036.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000036.PNG	0.999193	0.003245	0.040030	0.000393	0.484122	0.017489	0.839835
9	Kite_training/cloudy/color_left/trajectory_3026/000040.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000040.PNG	0.998958	-0.004825	0.045259	-0.003430	0.435832	0.108701	0.830182
10	Kite_training/cloudy/color_left/trajectory_3026/000044.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000044.PNG	0.998910	-0.011623	0.044731	-0.006506	0.374893	0.189960	0.824917
11	Kite_training/cloudy/color_left/trajectory_3026/000048.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000048.PNG	0.999161	-0.015477	0.036910	-0.008652	0.306042	0.257235	0.824679
12	Kite_training/cloudy/color_left/trajectory_3026/000052.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000052.PNG	0.999565	-0.016088	0.022205	-0.010867	0.239562	0.312939	0.826675
13	Kite_training/cloudy/color_left/trajectory_3026/000056.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000056.PNG	0.999787	-0.013981	0.008128	-0.012844	0.190507	0.347110	0.830503
14	Kite_training/cloudy/color_left/trajectory_3026/000060.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000060.PNG	0.999860	-0.009954	0.000253	-0.013424	0.162110	0.353047	0.836330
15	Kite_training/cloudy/color_left/trajectory_3026/000064.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000064.PNG	0.999917	-0.004505	-0.001234	-0.011993	0.146932	0.333605	0.843475
16	Kite_training/cloudy/color_left/trajectory_3026/000068.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000068.PNG	0.999962	0.000474	0.000342	-0.008655	0.134795	0.305966	0.848782
17	Kite_training/cloudy/color_left/trajectory_3026/000072.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000072.PNG	0.999986	0.003367	0.001226	-0.003828	0.118722	0.285232	0.850289
18	Kite_training/cloudy/color_left/trajectory_3026/000076.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000076.PNG	0.999988	0.004164	0.001083	0.002445	0.099994	0.268460	0.849280
19	Kite_training/cloudy/color_left/trajectory_3026/000080.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000080.PNG	0.999959	0.003509	0.000327	0.008282	0.083874	0.251371	0.846563
20	Kite_training/cloudy/color_left/trajectory_3026/000084.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000084.PNG	0.999945	0.002568	-0.000152	0.010172	0.076675	0.230414	0.842289
21	Kite_training/cloudy/color_left/trajectory_3026/000088.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000088.PNG	0.999969	0.001482	-0.000223	0.007759	0.076034	0.205489	0.836581
22	Kite_training/cloudy/color_left/trajectory_3026/000092.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000092.PNG	0.999995	0.000470	-0.000045	0.003237	0.077373	0.177087	0.830312
23	Kite_training/cloudy/color_left/trajectory_3026/000096.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000096.PNG	1.000000	-0.000137	0.000079	0.000272	0.076798	0.146174	0.824766
24	Kite_training/cloudy/color_left/trajectory_3026/000100.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000100.PNG	1.000000	-0.000308	0.000107	-0.000787	0.075259	0.113255	0.819792
25	Kite_training/cloudy/color_left/trajectory_3026/000104.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000104.PNG	1.000000	-0.000120	0.000054	-0.000264	0.073778	0.076656	0.815130
26	Kite_training/cloudy/color_left/trajectory_3026/000108.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000108.PNG	1.000000	0.000058	0.000006	0.000254	0.072747	0.026412	0.810422
27	Kite_training/cloudy/color_left/trajectory_3026/000112.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000112.PNG	1.000000	0.000113	-0.000010	0.000280	0.071986	-0.040656	0.805630
28	Kite_training/cloudy/color_left/trajectory_3026/000116.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000116.PNG	1.000000	0.000066	0.000000	-0.000103	0.071275	-0.116668	0.800832
29	Kite_training/cloudy/color_left/trajectory_3026/000120.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000120.PNG	1.000000	0.000000	0.000017	-0.000528	0.070442	-0.166536	0.796130
30	Kite_training/cloudy/color_left/trajectory_3026/000124.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000124.PNG	1.000000	-0.000059	0.000035	-0.000893	0.069508	-0.180617	0.791524
31	Kite_training/cloudy/color_left/trajectory_3026/000128.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000128.PNG	0.999999	-0.000107	0.000054	-0.001180	0.068391	-0.161436	0.786995
32	Kite_training/cloudy/color_left/trajectory_3026/000132.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000132.PNG	0.999999	-0.000090	0.000063	-0.001193	0.067047	-0.132879	0.782418
33	Kite_training/cloudy/color_left/trajectory_3026/000136.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000136.PNG	1.000000	0.000024	0.000060	-0.000827	0.065461	-0.108055	0.777738
34	Kite_training/cloudy/color_left/trajectory_3026/000140.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000140.PNG	1.000000	0.000218	0.000045	-0.000115	0.063603	-0.087215	0.772992
35	Kite_training/cloudy/color_left/trajectory_3026/000144.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000144.PNG	1.000000	0.000238	0.000030	0.000426	0.061351	-0.073518	0.768618
36	Kite_training/cloudy/color_left/trajectory_3026/000148.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000148.PNG	1.000000	-0.000113	0.000023	0.000390	0.058664	-0.069740	0.764934
37	Kite_training/cloudy/color_left/trajectory_3026/000152.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000152.PNG	1.000000	-0.000821	0.000024	-0.000198	0.055606	-0.076294	0.761909
38	Kite_training/cloudy/color_left/trajectory_3026/000156.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000156.PNG	0.999999	-0.001555	0.000023	-0.000711	0.052344	-0.091266	0.759509
39	Kite_training/cloudy/color_left/trajectory_3026/000160.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000160.PNG	0.999998	-0.002042	0.000010	-0.000636	0.049007	-0.112738	0.757677
40	Kite_training/cloudy/color_left/trajectory_3026/000164.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000164.PNG	0.999997	-0.002275	-0.000011	0.000030	0.045548	-0.140043	0.756333
41	Kite_training/cloudy/color_left/trajectory_3026/000168.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000168.PNG	0.999997	-0.002267	-0.000027	0.000841	0.042176	-0.160302	0.755276
42	Kite_training/cloudy/color_left/trajectory_3026/000172.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000172.PNG	0.999997	-0.002035	-0.000025	0.001198	0.039310	-0.156306	0.754540
43	Kite_training/cloudy/color_left/trajectory_3026/000176.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000176.PNG	0.999998	-0.001582	-0.000005	0.001059	0.037223	-0.126563	0.754513
44	Kite_training/cloudy/color_left/trajectory_3026/000180.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000180.PNG	0.999999	-0.000984	0.000020	0.000658	0.035863	-0.077935	0.755524
45	Kite_training/cloudy/color_left/trajectory_3026/000184.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000184.PNG	1.000000	-0.000386	0.000039	0.000439	0.034625	-0.023988	0.757633
46	Kite_training/cloudy/color_left/trajectory_3026/000188.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000188.PNG	1.000000	0.000194	0.000050	0.000449	0.033342	0.033669	0.760669
47	Kite_training/cloudy/color_left/trajectory_3026/000192.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000192.PNG	1.000000	0.000758	0.000052	0.000574	0.032161	0.089212	0.763920
48	Kite_training/cloudy/color_left/trajectory_3026/000196.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000196.PNG	0.999999	0.001310	0.000045	0.000579	0.031428	0.130971	0.766190
49	Kite_training/cloudy/color_left/trajectory_3026/000200.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000200.PNG	0.999998	0.001851	0.000028	0.000436	0.031138	0.157545	0.767289
50	Kite_training/cloudy/color_left/trajectory_3026/000204.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000204.PNG	0.999997	0.002301	0.000008	0.000191	0.031152	0.170574	0.767202
51	Kite_training/cloudy/color_left/trajectory_3026/000208.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000208.PNG	0.999997	0.002340	0.000009	0.000028	0.031192	0.176661	0.765822
52	Kite_training/cloudy/color_left/trajectory_3026/000212.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000212.PNG	0.999998	0.001886	0.000037	-0.000005	0.031188	0.176873	0.763319
53	Kite_training/cloudy/color_left/trajectory_3026/000216.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000216.PNG	0.999999	0.001035	0.000084	0.000069	0.031135	0.169305	0.759981
54	Kite_training/cloudy/color_left/trajectory_3026/000220.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000220.PNG	1.000000	0.000617	0.000073	0.000074	0.030998	0.143484	0.756254
55	Kite_training/cloudy/color_left/trajectory_3026/000224.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000224.PNG	0.999999	0.001059	-0.000031	-0.000083	0.030805	0.095000	0.752158
56	Kite_training/cloudy/color_left/trajectory_3026/000228.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000228.PNG	0.999998	0.002043	-0.000191	-0.000365	0.030682	0.026934	0.747682
57	Kite_training/cloudy/color_left/trajectory_3026/000232.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000232.PNG	0.999999	0.001508	-0.000157	-0.000530	0.030822	-0.048209	0.743686
58	Kite_training/cloudy/color_left/trajectory_3026/000236.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000236.PNG	0.999999	-0.001366	0.000164	-0.000486	0.031053	-0.128069	0.740529
59	Kite_training/cloudy/color_left/trajectory_3026/000240.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000240.PNG	0.999980	-0.006358	0.000716	-0.000251	0.030909	-0.214440	0.737081
60	Kite_training/cloudy/color_left/trajectory_3026/000244.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000244.PNG	0.999948	-0.010137	0.000724	-0.000213	0.029167	-0.285864	0.732753
61	Kite_training/cloudy/color_left/trajectory_3026/000248.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000248.PNG	0.999948	-0.010140	-0.000408	-0.000722	0.026031	-0.321675	0.729345
62	Kite_training/cloudy/color_left/trajectory_3026/000252.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000252.PNG	0.999974	-0.006459	-0.002594	-0.001749	0.023518	-0.317214	0.731012
63	Kite_training/cloudy/color_left/trajectory_3026/000256.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000256.PNG	0.999988	-0.001777	-0.004309	-0.001644	0.024869	-0.285885	0.738397
64	Kite_training/cloudy/color_left/trajectory_3026/000260.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000260.PNG	0.999989	0.001707	-0.004352	0.000981	0.029862	-0.241146	0.748841
65	Kite_training/cloudy/color_left/trajectory_3026/000264.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000264.PNG	0.999970	0.003921	-0.002757	0.006109	0.035137	-0.185181	0.760637
66	Kite_training/cloudy/color_left/trajectory_3026/000268.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000268.PNG	0.999929	0.005126	-0.000666	0.010709	0.039134	-0.124134	0.771628
67	Kite_training/cloudy/color_left/trajectory_3026/000272.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000272.PNG	0.999932	0.005651	0.000256	0.010200	0.043824	-0.066021	0.779811
68	Kite_training/cloudy/color_left/trajectory_3026/000276.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000276.PNG	0.999976	0.005459	-0.000030	0.004283	0.052410	-0.012335	0.784756
69	Kite_training/cloudy/color_left/trajectory_3026/000280.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000280.PNG	0.999985	0.004684	-0.000487	-0.002849	0.064923	0.033521	0.786453
70	Kite_training/cloudy/color_left/trajectory_3026/000284.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000284.PNG	0.999985	0.003622	0.000507	-0.004164	0.078014	0.066515	0.785310
71	Kite_training/cloudy/color_left/trajectory_3026/000288.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000288.PNG	0.999992	0.002280	0.003051	0.000988	0.089128	0.085179	0.782104
72	Kite_training/cloudy/color_left/trajectory_3026/000292.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000292.PNG	0.999936	0.000944	0.006519	0.009218	0.097930	0.090075	0.777951
73	Kite_training/cloudy/color_left/trajectory_3026/000296.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000296.PNG	0.999906	0.000314	0.009037	0.010302	0.105921	0.086972	0.774428
74	Kite_training/cloudy/color_left/trajectory_3026/000300.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000300.PNG	0.999945	0.000336	0.010226	0.002319	0.113559	0.079321	0.771745
75	Kite_training/cloudy/color_left/trajectory_3026/000304.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000304.PNG	0.999893	0.000602	0.010133	-0.010533	0.118950	0.069124	0.769801
76	Kite_training/cloudy/color_left/trajectory_3026/000308.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000308.PNG	0.999840	0.000588	0.008938	-0.015514	0.116557	0.054950	0.768168
77	Kite_training/cloudy/color_left/trajectory_3026/000312.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000312.PNG	0.999926	0.000454	0.006654	-0.010219	0.108836	0.033705	0.766283
78	Kite_training/cloudy/color_left/trajectory_3026/000316.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000316.PNG	0.999987	0.000360	0.003510	0.003635	0.100302	0.005144	0.763695
79	Kite_training/cloudy/color_left/trajectory_3026/000320.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000320.PNG	0.999904	0.000283	0.001261	0.013797	0.100918	-0.013225	0.760354
80	Kite_training/cloudy/color_left/trajectory_3026/000324.JPEG	Kite_training/cloudy/stereo_disparity/trajectory_3026/000324.PNG	0.999888	0.000195	0.000676	0.014961	0.112622	-0.012676	0.756544
