id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/foggy/color_left/trajectory_2029/000004.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000004.PNG	0.999971	-0.001153	0.005972	0.004502	-0.105819	0.102061	0.733552
1	Kite_training/foggy/color_left/trajectory_2029/000008.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000008.PNG	0.999972	-0.001290	0.006215	0.004001	-0.104035	0.124403	0.730280
2	Kite_training/foggy/color_left/trajectory_2029/000012.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000012.PNG	0.999975	-0.001370	0.006044	0.003288	-0.101138	0.146635	0.728022
3	Kite_training/foggy/color_left/trajectory_2029/000016.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000016.PNG	0.999980	-0.001369	0.005755	0.002442	-0.096405	0.168318	0.726904
4	Kite_training/foggy/color_left/trajectory_2029/000020.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000020.PNG	0.999968	-0.001009	0.007594	0.002089	-0.087700	0.186042	0.726770
5	Kite_training/foggy/color_left/trajectory_2029/000024.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000024.PNG	0.999918	-0.000126	0.012580	0.002533	-0.077114	0.198808	0.726973
6	Kite_training/foggy/color_left/trajectory_2029/000028.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000028.PNG	0.999794	0.001191	0.019944	0.003567	-0.069757	0.207458	0.726549
7	Kite_training/foggy/color_left/trajectory_2029/000032.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000032.PNG	0.999668	0.002106	0.025372	0.004008	-0.073026	0.212630	0.723950
8	Kite_training/foggy/color_left/trajectory_2029/000036.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000036.PNG	0.999617	0.002235	0.027374	0.003460	-0.085724	0.213681	0.719357
9	Kite_training/foggy/color_left/trajectory_2029/000040.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000040.PNG	0.999660	0.001467	0.025974	0.001955	-0.103269	0.209374	0.713866
10	Kite_training/foggy/color_left/trajectory_2029/000044.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000044.PNG	0.999753	0.000229	0.022221	0.000040	-0.120833	0.199393	0.708961
11	Kite_training/foggy/color_left/trajectory_2029/000048.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000048.PNG	0.999833	-0.000450	0.018242	-0.001214	-0.134498	0.185291	0.705756
12	Kite_training/foggy/color_left/trajectory_2029/000052.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000052.PNG	0.999896	-0.000389	0.014299	-0.001704	-0.143578	0.168292	0.704152
13	Kite_training/foggy/color_left/trajectory_2029/000056.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000056.PNG	0.999944	0.000249	0.010456	-0.001626	-0.147864	0.149045	0.703944
14	Kite_training/foggy/color_left/trajectory_2029/000060.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000060.PNG	0.999975	0.001030	0.006843	-0.001379	-0.147416	0.127161	0.705029
15	Kite_training/foggy/color_left/trajectory_2029/000064.JPEG	Kite_training/foggy/stereo_disparity/trajectory_2029/000064.PNG	0.999992	0.001884	0.003480	-0.001002	-0.142493	0.102724	0.707258
