id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	Kite_training/sunny/color_left/trajectory_0016/000004.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000004.PNG	0.999457	0.017465	0.000824	-0.027946	-0.523886	-0.088435	2.085156
1	Kite_training/sunny/color_left/trajectory_0016/000008.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000008.PNG	0.999777	0.011134	0.000328	-0.017937	-0.494123	-0.217723	2.102075
2	Kite_training/sunny/color_left/trajectory_0016/000012.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000012.PNG	0.999962	0.003444	0.000014	-0.008028	-0.473011	-0.369214	2.112852
3	Kite_training/sunny/color_left/trajectory_0016/000016.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000016.PNG	0.999991	-0.004233	-0.000008	0.000870	-0.462051	-0.537562	2.115885
4	Kite_training/sunny/color_left/trajectory_0016/000020.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000020.PNG	0.999938	-0.008755	0.000069	0.006905	-0.454994	-0.692421	2.115447
5	Kite_training/sunny/color_left/trajectory_0016/000024.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000024.PNG	0.999905	-0.009702	0.000229	0.009835	-0.453151	-0.819222	2.112340
6	Kite_training/sunny/color_left/trajectory_0016/000028.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000028.PNG	0.999917	-0.007977	0.000295	0.010131	-0.454408	-0.907493	2.111012
7	Kite_training/sunny/color_left/trajectory_0016/000032.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000032.PNG	0.999930	-0.007001	0.000219	0.009558	-0.454469	-0.953875	2.114671
8	Kite_training/sunny/color_left/trajectory_0016/000036.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000036.PNG	0.999935	-0.007584	0.000088	0.008524	-0.449458	-0.963845	2.123144
9	Kite_training/sunny/color_left/trajectory_0016/000040.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000040.PNG	0.999930	-0.009501	-0.000017	0.007098	-0.436663	-0.945654	2.134680
10	Kite_training/sunny/color_left/trajectory_0016/000044.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000044.PNG	0.999925	-0.010705	-0.000026	0.005990	-0.416932	-0.913215	2.146227
11	Kite_training/sunny/color_left/trajectory_0016/000048.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000048.PNG	0.999933	-0.010106	0.000022	0.005598	-0.392211	-0.867425	2.159572
12	Kite_training/sunny/color_left/trajectory_0016/000052.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000052.PNG	0.999953	-0.007729	0.000068	0.005925	-0.363617	-0.800333	2.179267
13	Kite_training/sunny/color_left/trajectory_0016/000056.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000056.PNG	0.999969	-0.004852	0.000066	0.006158	-0.332153	-0.708860	2.207489
14	Kite_training/sunny/color_left/trajectory_0016/000060.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000060.PNG	0.999981	-0.003056	0.000044	0.005266	-0.297409	-0.596932	2.242430
15	Kite_training/sunny/color_left/trajectory_0016/000064.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000064.PNG	0.999992	-0.002431	0.000044	0.003189	-0.257695	-0.470068	2.281253
16	Kite_training/sunny/color_left/trajectory_0016/000068.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000068.PNG	0.999997	-0.002493	0.000070	0.000829	-0.213196	-0.337437	2.321648
17	Kite_training/sunny/color_left/trajectory_0016/000072.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000072.PNG	0.999997	-0.002437	0.000077	-0.000307	-0.166326	-0.207991	2.362395
18	Kite_training/sunny/color_left/trajectory_0016/000076.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000076.PNG	0.999998	-0.002190	0.000067	-0.000108	-0.119151	-0.080723	2.403498
19	Kite_training/sunny/color_left/trajectory_0016/000080.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000080.PNG	0.999998	-0.001800	0.000053	0.000488	-0.072034	0.048901	2.444822
20	Kite_training/sunny/color_left/trajectory_0016/000084.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000084.PNG	0.999999	-0.001324	0.000043	0.000372	-0.024269	0.185230	2.486085
21	Kite_training/sunny/color_left/trajectory_0016/000088.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000088.PNG	1.000000	-0.000766	0.000035	-0.000510	0.024174	0.328315	2.526957
22	Kite_training/sunny/color_left/trajectory_0016/000092.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000092.PNG	0.999998	-0.000156	0.000025	-0.001772	0.071680	0.451694	2.566871
23	Kite_training/sunny/color_left/trajectory_0016/000096.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000096.PNG	0.999996	0.000463	0.000008	-0.002856	0.116268	0.517172	2.605071
24	Kite_training/sunny/color_left/trajectory_0016/000100.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000100.PNG	0.999992	0.001088	-0.000012	-0.003720	0.158245	0.522197	2.641235
25	Kite_training/sunny/color_left/trajectory_0016/000104.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000104.PNG	0.999989	0.001694	-0.000029	-0.004337	0.198525	0.473457	2.675338
26	Kite_training/sunny/color_left/trajectory_0016/000108.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000108.PNG	0.999987	0.002123	-0.000019	-0.004549	0.236339	0.408114	2.706848
27	Kite_training/sunny/color_left/trajectory_0016/000112.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000112.PNG	0.999988	0.002317	0.000019	-0.004299	0.271554	0.338563	2.735882
28	Kite_training/sunny/color_left/trajectory_0016/000116.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000116.PNG	0.999991	0.002230	0.000073	-0.003572	0.304799	0.263896	2.762909
29	Kite_training/sunny/color_left/trajectory_0016/000120.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000120.PNG	0.999996	0.001573	0.000108	-0.002284	0.337871	0.186075	2.788531
30	Kite_training/sunny/color_left/trajectory_0016/000124.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000124.PNG	1.000000	0.000237	0.000109	-0.000403	0.371316	0.102801	2.812973
31	Kite_training/sunny/color_left/trajectory_0016/000128.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000128.PNG	0.999997	-0.001596	0.000092	0.001884	0.404902	0.012526	2.836155
32	Kite_training/sunny/color_left/trajectory_0016/000132.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000132.PNG	0.999992	-0.002590	0.000134	0.003198	0.439130	-0.065176	2.859137
33	Kite_training/sunny/color_left/trajectory_0016/000136.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000136.PNG	0.999993	-0.002167	0.000241	0.002946	0.473846	-0.115071	2.882469
34	Kite_training/sunny/color_left/trajectory_0016/000140.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000140.PNG	0.999997	-0.001161	0.000276	0.001921	0.508513	-0.137431	2.906094
35	Kite_training/sunny/color_left/trajectory_0016/000144.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000144.PNG	0.999999	-0.000657	0.000105	0.001150	0.543058	-0.140496	2.929452
36	Kite_training/sunny/color_left/trajectory_0016/000148.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000148.PNG	0.999999	-0.000732	-0.000275	0.000701	0.578732	-0.128015	2.952213
37	Kite_training/sunny/color_left/trajectory_0016/000152.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000152.PNG	0.999999	-0.001176	-0.000683	0.000547	0.616881	-0.106406	2.973991
38	Kite_training/sunny/color_left/trajectory_0016/000156.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000156.PNG	0.999999	-0.001300	-0.000540	0.000599	0.658064	-0.087547	2.994687
39	Kite_training/sunny/color_left/trajectory_0016/000160.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000160.PNG	0.999999	-0.000960	0.000270	0.000845	0.699035	-0.071758	3.015074
40	Kite_training/sunny/color_left/trajectory_0016/000164.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000164.PNG	0.999998	-0.000152	0.001747	0.001288	0.735701	-0.056514	3.036214
41	Kite_training/sunny/color_left/trajectory_0016/000168.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000168.PNG	0.999989	0.001010	0.004130	0.002018	0.764248	-0.038084	3.058853
42	Kite_training/sunny/color_left/trajectory_0016/000172.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000172.PNG	0.999961	0.002298	0.007912	0.003211	0.779666	-0.012313	3.083665
43	Kite_training/sunny/color_left/trajectory_0016/000176.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000176.PNG	0.999897	0.003655	0.013043	0.004838	0.773105	0.021114	3.112577
44	Kite_training/sunny/color_left/trajectory_0016/000180.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000180.PNG	0.999825	0.004486	0.017099	0.006170	0.733641	0.058388	3.146224
45	Kite_training/sunny/color_left/trajectory_0016/000184.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000184.PNG	0.999812	0.004232	0.017755	0.006556	0.665369	0.093426	3.181172
46	Kite_training/sunny/color_left/trajectory_0016/000188.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000188.PNG	0.999865	0.002909	0.014982	0.006032	0.589392	0.120999	3.212274
47	Kite_training/sunny/color_left/trajectory_0016/000192.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000192.PNG	0.999928	0.001356	0.010769	0.005210	0.529814	0.140655	3.237231
48	Kite_training/sunny/color_left/trajectory_0016/000196.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000196.PNG	0.999963	0.000450	0.007211	0.004702	0.498714	0.156483	3.256849
49	Kite_training/sunny/color_left/trajectory_0016/000200.JPEG	Kite_training/sunny/stereo_disparity/trajectory_0016/000200.PNG	0.999980	0.000219	0.004410	0.004520	0.492598	0.172217	3.272503
