id	camera_l	disp	qw	qx	qy	qz	tx	ty	tz
0	PLE_training/spring/color_left/trajectory_5023/000004.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000004.PNG	0.999894	-0.002052	-0.013818	-0.004187	0.753857	-0.321495	-0.070699
1	PLE_training/spring/color_left/trajectory_5023/000008.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000008.PNG	0.999854	-0.003059	-0.015757	-0.005912	0.784831	-0.297130	-0.067799
2	PLE_training/spring/color_left/trajectory_5023/000012.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000012.PNG	0.999723	-0.005186	-0.021668	-0.007540	0.810513	-0.269980	-0.069280
3	PLE_training/spring/color_left/trajectory_5023/000016.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000016.PNG	0.999451	-0.008039	-0.030872	-0.008972	0.830480	-0.240173	-0.082536
4	PLE_training/spring/color_left/trajectory_5023/000020.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000020.PNG	0.999192	-0.009592	-0.038031	-0.008725	0.846896	-0.209503	-0.112444
5	PLE_training/spring/color_left/trajectory_5023/000024.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000024.PNG	0.999114	-0.009200	-0.040646	-0.005932	0.860005	-0.181666	-0.153894
6	PLE_training/spring/color_left/trajectory_5023/000028.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000028.PNG	0.999219	-0.007214	-0.038842	-0.000531	0.869832	-0.161617	-0.197416
7	PLE_training/spring/color_left/trajectory_5023/000032.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000032.PNG	0.999344	-0.005288	-0.035603	0.004109	0.878621	-0.152030	-0.235257
8	PLE_training/spring/color_left/trajectory_5023/000036.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000036.PNG	0.999415	-0.004677	-0.033517	0.004849	0.889000	-0.149528	-0.266392
9	PLE_training/spring/color_left/trajectory_5023/000040.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000040.PNG	0.999454	-0.005220	-0.032578	0.001688	0.902375	-0.146793	-0.294024
10	PLE_training/spring/color_left/trajectory_5023/000044.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000044.PNG	0.999474	-0.006845	-0.031659	-0.001839	0.918251	-0.134131	-0.320573
11	PLE_training/spring/color_left/trajectory_5023/000048.JPEG	PLE_training/spring/stereo_disparity/trajectory_5023/000048.PNG	0.999507	-0.009639	-0.029768	-0.002639	0.935626	-0.108060	-0.345644
